2020-04-19 13:04:784 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (a4bd187698bd24eb98c7b74231dcc159)] -> partial link text: Login]
2020-04-19 13:04:647 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (a4bd187698bd24eb98c7b74231dcc159)] -> id: user_email]
2020-04-19 13:04:258 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (a4bd187698bd24eb98c7b74231dcc159)] -> id: user_password]
2020-04-19 13:04:602 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (a4bd187698bd24eb98c7b74231dcc159)] -> name: commit]
2020-04-19 13:04:654 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (a4bd187698bd24eb98c7b74231dcc159)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 13:04:746 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (a4bd187698bd24eb98c7b74231dcc159)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 13:04:716 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:162 INFO  HomePage :38 - Displaying Practice link : [[ChromeDriver: chrome on WINDOWS (222626da80d2b45824697c051dea01b7)] -> partial link text: Login]
2020-04-19 13:04:797 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:363 INFO  HomePage :45 - Displaying Login link : [[ChromeDriver: chrome on WINDOWS (659e50750636e92de4a23ae704e2587a)] -> partial link text: Login]
2020-04-19 13:04:720 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:595 INFO  HomePage :51 - Displaying Sign Up link : [[ChromeDriver: chrome on WINDOWS (b5e493cd5c70dfe1e8cc3eb7221e0d25)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-19 13:04:915 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:261 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (1a7b46b9dbd0770ad78b03e8bf26849c)] -> partial link text: Login]
2020-04-19 13:04:724 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:54 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (8a3a8ebe335ed7d690d77cf90218cb0d)] -> partial link text: Login]
2020-04-19 13:04:403 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (8a3a8ebe335ed7d690d77cf90218cb0d)] -> id: user_email]
2020-04-19 13:04:847 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (8a3a8ebe335ed7d690d77cf90218cb0d)] -> id: user_password]
2020-04-19 13:04:739 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (8a3a8ebe335ed7d690d77cf90218cb0d)] -> name: commit]
2020-04-19 13:04:868 INFO  MyCoursesPage :33 - My Course Text is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'My Courses')]'
2020-04-19 13:04:78 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:606 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (04a5b906a090319d62cfb6608c62574a)] -> partial link text: Login]
2020-04-19 13:04:860 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (04a5b906a090319d62cfb6608c62574a)] -> id: user_email]
